House Direction,Balcony Direction,Bedrooms,Toilets,Legits,Furnitures,Floors,Facade,Entrance,City,District,Ward,Street,Area,Price,X,Y
Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,,,Hà Nội,Nam Từ Liêm,Phường Mễ Trì,Đường Mễ Trì Hạ,74.0,2350.0,21.0100131,105.786309
,,,,Sổ đỏ/ Sổ hồng,,10.0,25.0,4,Hà Nội,Đống Đa,Phường Láng Thượng,Đường Láng,710.0,350000.0,21.0229999,105.8061749
,,2.0,2.0,,,,,,Hà Nội,Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,96.0,7000.0,21.0437217,105.8197536
,,,,,,,5.0,3,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Phú Thượng,80.0,6000.0,21.0791733,105.815656
,,,,"Sổ siêu đẹp, cất két sẵn sàng giao dịch",Full nội thất,7.0,20.0,,Hà Nội,Đống Đa,Phường Phương Liên,Đường Phạm Ngọc Thạch,400.0,115000.0,21.0099244,105.8375074
Tây,,,,Sổ đỏ chính chủ.,,,4.0,,Hà Nội,Long Biên,Phường Cự Khối,Đường Xuân Đỗ,33.0,1300.0,21.0099858,105.9053582
Tây - Nam,Đông - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất,,,,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Nguyễn Chánh,123.0,5400.0,21.0373324,105.7910892
,,,,,,2.0,5.47,6,Hà Nội,Đông Anh,Xã Vân Hà,Đường Thiết Bình,120.0,4000.0,21.1319158,105.9042259
Tây,Nam,3.0,2.0,,,,,,Hà Nội,Hai Bà Trưng,Phường Vĩnh Tuy,Đường Minh Khai,118.0,6000.0,21.0141355,105.8654629
,,4.0,4.0,Sổ đỏ chính chủ.,Cơ bản.,5.0,4.0,2,Hà Nội,Hoàng Mai,Phường Thanh Trì,Đường Nguyễn Khoái,30.0,3279.0,20.9946062,105.885675
Tây - Nam,Đông - Nam,,,Sổ đỏ/ Sổ hồng,,,15.0,30,Hà Nội,Bắc Từ Liêm,,,288.0,72000.0,0.0,0.0
,,,,,,,,,Hà Nội,Long Biên,Phường Việt Hưng,Đường Nguyệt Quế,168.0,33000.0,21.0602793,105.8938304
,,,,Sổ đỏ,,,,,Hà Nội,Long Biên,Phường Phúc Lợi,Đường Hoa Sữa,270.0,47000.0,21.0357231,105.9153081
